Timestamp,Participant Number,Age,Gender,Nationality,Handedness,Vision,VR,AR,MISC_0,MISC_1,Condition_1,Hand_1,I was able to control the robot,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,Comment_1,MISC_2,Condition_2,Hand_2,I was able to control the robot,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,I find this control condition to be,Comment_2,Did you notice a difference between the two control conditions? Please elaborate.,Which control condition did you prefer? Please explain why.,"Did you notice a difference in how you executed the task using condition 1 (disconnected) , versus using condition 2 (connected)? Please elaborate",Do you have any other thoughts?
2/23/2021 11:53:28,10,24,Male,Dutch,Right,Glasses,Regularly,Never,0,0,2,Right,1,4,1,2,2,4,1,2,4,2,5,2,There is a delay for larger movements,0,1,Right,2,4,2,2,2,4,1,2,4,2,4,3,,Felt like I had to make larger movements for the disconnected condition. ,I prefer the disconnected condition. The delay is too obvious in the connected condition. ,"I think the trajectory of my hand was the same in both conditions, but my head was tilted more in the connected condition. ",It was uncomfortable to maintain the hand gesture (2 pointing fingers). 
2/23/2021 15:55:12,11,69,Male,Dutch,Right,No,Never,Never,0,1,1,Right,1,5,1,1,2,5,2,1,5,1,5,2,,1,2,Right,2,5,1,1,1,5,1,1,5,1,5,1,,No, None,No,No
2/23/2021 16:39:41,12,67,Female,Dutch,Right,No,Never,Never,0,0,2,Right,2,4,1,1,1,5,1,1,5,1,5,1,,0,1,Right,2,5,1,1,1,5,1,1,5,1,5,1,,ik merkte verschil tussen oefening 1 en 2.  Ik deed oef. 2 eerst en die vond ik prettiger en directer en makkelijker om te doen.,Situated control zie vraag 1,De eerste conditie die ik deed vond ik makkelijker om te sturen en ik had het gevoel dat ik daardoor vrijer en directer kon bewegen.,
2/24/2021 10:41:02,13,29,Male,Dutch,Left,Glasses,Often,Sometimes,0,1,1,Left,4,5,4,1,3,5,1,1,4,1,4,3,,1,2,Left,1,4,2,1,2,5,2,1,4,1,4,3,,the projection orientation,second; feels more intuitive,the first feels more effective but the second more interactive,no
2/24/2021 11:47:23,14,27,Female,Dutch,Right,No,Once or Twice,Once or Twice,0,1,2,Right,1,5,1,1,2,5,2,1,4,1,5,1,"If you go to fast, the device can not track your movement",1,1,Right,2,3,2,1,2,5,2,1,5,1,4,1,,The first was hand on the screen and the second was with your hand before the robot space. ,Yes. I thought it was harder to do the second one. Where your hand is not in the screen. So the first one was more likable. But I can imagine that with time my preference would be second.. but i dont know,Connected felt easier. It was harder om in te schatten welke afstand je moest neen met de disconnected. ,VR. feels a bit like how life feels after a concussion. 
2/24/2021 12:45:21,15,25,Female,Dutch,Right,Lensses,Sometimes,Never,1,2,1,Right,2,4,3,2,3,4,2,2,3,2,3,3,krijg er een lamme arm van,2,2,Right,2,4,2,2,3,3,4,2,3,3,2,3,pijn in nek omdat je gebogen moet kijken de hele tijd," jaa, zat er ""in"" en er niet ""in""","disconnected, hij was ergonomisch beter voor je lichaam, voorserest niet echt verschillen",l mischien was condition 1 (disconnected) makkelijker,no
2/24/2021 13:29:33,16,23,Male,Dutch,Right,No,Sometimes,Once or Twice,0,0,2,Right,1,4,2,2,2,5,2,2,4,2,5,3,,1,1,Right,3,2,3,3,4,3,4,3,3,3,2,1,,I noticed that the disconnected methods felt less reliable and that it did not completely do the same movements as my hand. Also the locations was not always right i believe,Situated control. I feel like i have way more control over the location of the arm as well as a higher precision.,Condition 2 felt more steady and I was faster in hitting the red squares i think. It felt more intuitive.,No
2/24/2021 15:47:20,17,23,Female,Dutch,Right,Lensses,Once or Twice,Never,0,0,1,Right,1,5,2,1,2,5,2,1,4,1,4,3,"heavy on head, little bit of pain in my neck",0,2,Right,2,4,4,2,3,4,2,2,3,2,4,3,Pain in neck,Ik vond de controle beter/makkelijker bij de eerste situatie. Bij de tweede zat soms mijn eigen hand in de weg en had ik het gevoel dat ik de randen slechter kon zien en dat de reactie iets minder precies was.,De eerste: beter beeld en preciezere controle.,Geen verschil in hoe ik het deed gemerkt. Bij de tweede situatie moest ik beter opletten omdat de controle minder goed was.,Misschien fijner als het beeld zich iets verder voor je bevind zodat je wat meer recht vooruit kan kijken. Nu had ik soms het idee dat ik het 'onderste' randje van het beeld niet goed kon zien omdat ik dan te ver naar beneden moest kijken en bang was dat de bril afviel oid.
2/24/2021 17:23:46,18,44,Male,Dutch,Right,No,Never,Never,0,0,2,Right,1,5,1,1,2,4,1,1,4,2,4,1,,1,1,Right,2,4,2,2,2,3,1,2,4,2,2,1,,i felt more in control during the connected experiment than the disconnected,"the connected, because i felt more in control, namely because my hand movement was more visible","yes, I experienced during the execution of the task in condition 2 I had the feeling of being more in control, becasuse my hand movement was directly on the goal of the task.",
2/25/2021 11:56:41,19,27,Male,Dutch,Right,No,Once or Twice,Once or Twice,1,1,1,Right,5,5,2,2,1,3,2,1,4,2,3,3,De spawn tijd wisselde per blokje,1,2,Right,3,4,3,1,2,3,3,2,5,2,3,2,"zelfde, wisselde spawn tijd van blokjes","ja, eerste was duidelijk een besturing vanuit derde persoon waarmee het makkelijker was het constant te besturen. Bij de tweede test wisselde ik met de gedachte dat ik of vanuit derde persoon bezig was of direct de robot aan het besturen was. Hiermee was ik voor mijn gevoel minder in controle. Dit kwam ook voornamelijk omdat het een 2D refelctie was van een 3D besturing. ","De eerste, omdat dit een constant derde persoon view gaf. Wellicht in 3D visualisatie ik meer optie twee prefereer.","ja, bij 1 was ik constant bewust disconnected en bij 2 had ik het gevoel dat ik af en toe connected was en soms ook weer niet. Dit kwam voornamelijk doordat het bij 2 ik een 3D beweging moest refereren naar een 2D scherm.",Ik dank dat bij dit voorbeeld (2D systeem) disconected beter is aangezien ik dit gevoel soms ook bij bij connected. Wellicht is bij een 3D systeem connected wel beter!
2/25/2021 14:44:34,20,26,Male,Dutch,Right,No,Sometimes,Never,0,0,2,Right,2,4,2,2,2,4,2,2,3,2,4,2,,0,1,Right,2,4,1,2,2,4,2,2,4,2,4,2,,Depth seemed to be more important for the situated one.,"I preferred the distatiated. More relaxed posture, fingers lifted quite high and too precise depth control for the situated.","Not really, but more relaxed in the distatiated control.",
2/25/2021 15:45:03,21,30,Male,Dutch/Turkish,Right,Color-blind,Never,Never,0,0,1,Right,2,5,2,1,1,4,1,1,5,1,5,2,It takes some time to get used to/ having the feeling of proper control,0,2,Right,1,5,1,1,1,5,1,1,5,1,5,1,Relatively easier to control ,"Yes, due to the fact the situated control was more real life scale, it felt easier to control the robot","Situated, because the scale felt closer to reality","Yes, it was easier to touch the boxes that were distant, in the situated condition",I am wondering about how it would work in a 3 dimensional setup
2/25/2021 16:45:19,22,22,Male,USA,Left,Glasses,Sometimes,Never,0,0,2,Left,2,4,1,2,2,3,2,1,4,3,4,2,WTF are these questions,0,1,Left,2,5,1,2,1,4,1,2,4,1,4,2,,The disconnected felt like I had more control over the robot. It felt more responsive.,"The disconnected one. You could probably increase/decrease the sensitivity of the robot given the hand movement input depending on the application. It feels more like you're controlling something, like the mouse/trackpad you use for your computer",I stood more diagonally for the disconnected task because it was easier to move my arm outwards instead of across my body. This made touching the blocks easier/smoother/faster (I think),Gonna have a stew for dinner that's been cooking since 10 am. Looking very forward to that. 
2/26/2021 10:54:14,23,26,Male,Dutch,Right,Glasses,Once or Twice,Never,0,0,1,Right,1,5,2,1,1,4,1,1,4,1,5,2,Ging regelmatig te hoog zitten met mijn vinger en dan verlies je controle ,0,2,Right,1,4,2,1,2,5,1,1,4,1,4,2,De verre hoeken zijn lastiger te besturen omdat je sneller te hoog komt te zitten. Soms komt je hand voor de arm te zitten waardoor je soms je orientatie kwijt bent.,Het grote verschil tussen de twee condities is de manier waarop je je handen beweegt. Zo beweeg je bij conditie 1 je handen vooral op gevoel en op reactie wat de robot doet. En met conditie 2 is duidelijk je hand zichtbaar en doe je het minder op gevoel. Wel was te merken dat ik bij conditie 2 vaak met je hand te hoog kwam te zitten waardoor de beweging van de robot mis ging.,"Conditie 1. Ookal is er minder zicht van je handen, ik denk dat bewegen met het gevoel een rustigere ervaring is dan met je hand in het zicht. Ook merkte ik minder irritaties dat de had te hoog ging zitten dan met conditie 2.","Bij conditie 1 had ik vaker het gevoel dat ik er al was en al terug ging naar de rust postitie. Dit probleem had ik minder met conditie 2. Wel waren de blokjes die verschenen in de hoeken lastiger te bereiken in conditie 2. Hoe ik de opdracht heb uitgevoerd denk ik dat er weinig verschil tussen zit, naast de bovenstaande punten. ",Ik denk dat voor mij het beeld van conditie 1 ook rustiger was.
2/26/2021 12:58:09,24,27,Male,Dutch,Right,Glasses,Once or Twice,Once or Twice,0,1,2,Right,1,4,4,2,1,4,3,2,4,1,4,3,,1,1,Right,3,2,3,2,4,3,4,3,3,3,3,2,Was feeling less accurate when doing the task,I was feeling a bit disconnected while doing the second task. The latency is making it harder to precisely place the robot on the red square in a short amount of time.,The control where you finger was in the plane. The first task was easier because you the place where you pointed your finger was the point where the arm should go.,I took my time with the disconnected task because it felt like i missed a few of the red boxes. In the connected task I just quickly moved my finger to the box and i know the robot would follow and eventually reach the box.,With the disconnected task it would be easier if you'd show the boundaries of the robot. 
2/26/2021 18:12:34,25,27,Female,Georgian,Right,No,Never,Never,0,0,1,Right,1,5,1,1,1,5,2,1,5,1,5,3,I find this control condition very useful for development of innovative technologies. ,0,2,Right,1,5,1,1,2,5,1,1,5,1,5,4,"The experience was interesting, I find the robot easy to move around, however I became a bit tired, especially my neck, as the headset was a bit heavy. ",I did feel the difference. The image in the second condition was closer that facilitated using the robot. ,Second one since I found it easier to use. ,"The task was the same, I didn't feel the difference. ",It was easier to use the open fingers in the first condition instead of only two fingers in the second one.
3/5/2021 15:13:28,26,67,Female,Dutch,Right,Glasses,Never,Never,0,0,2,Right,3,4,2,1,1,5,1,4,5,4,4,2,,0,1,Right,1,5,1,1,1,5,1,1,5,1,4,3,,Het gebruik van de plaatsing vande hand was een heel verschil,conditie 2 stabilere stand van de hand,"ja, moest meer alert zijn.",nice
3/5/2021 16:19:03,27,72,Male,Dutch,Right,Glasses,Never,Never,0,0,1,Right,1,5,1,1,1,5,1,2,4,1,4,2,,0,2,Right,1,5,1,1,1,5,1,1,5,1,5,1,,first one is easier. Hand was makkelijker te houden bij de eerste,first one. meer controle over je hand,bij de eerste deed ik eea precies op het rode stipje. Bij de tweede ging ik iets verder met de vingers naar mijn idee,"was niet irritant of zo om te doen
"
3/9/2021 16:42:25,28,25,Male,Dutch,Right,Glasses,Once or Twice,Never,0,0,2,Right,1,5,2,3,3,3,2,2,5,3,4,2,,0,1,Right,1,5,2,2,2,4,2,2,5,2,4,3,,"Yes, the location of my hand was different",I think the disconnected one,I think I did better for the disconnected condition,Nope thanks
3/12/2021 13:47:18,29,29,Female,Indian,Right,Lensses,Regularly,Never,0,0,1,Right,1,4,4,2,2,2,2,2,4,2,4,2,,0,2,Right,1,5,1,1,1,5,1,1,5,1,5,1,,The situated control was more intuitive.,Situated control,The situated control was more relaxing.,
3/12/2021 17:19:35,30,25,Female,Dutch,Right,No,Once or Twice,Once or Twice,0,0,2,Right,1,5,1,1,2,4,1,1,5,2,5,1,,0,1,Right,1,5,2,1,1,4,1,2,5,1,4,2,,"Because of the distance, I felt the first condition didn't pick up my hand a good as the second","Condition 2, see first answer","With condtion 1, I had to have more distance, which sometimes made it difficult for me to hold the connection. This made it a little harder for me to sometimes hit the blocks on the side.",
